ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
120,Vasanth Kumari (BJP),17534,36582,Backward Category A (Women),0.76,Cottonpete,305,"['Aswath Nagar', ' Keshav Nagar', ' Nagamma Nagar', ' SBI staff quarters', ' Akkipete (P)', ' Sultanpete', ' Manavathipete', ' Cottonpete']",3115,Gandhinagar,19048
57,M.Krishnappa (BJP),13938,29760,Backward Category A,3.58,C V Raman Nagar,640,"[u'Bhuvaneshwari Nagar', u' Maruthi Nagar', u' C V Raman Nagar', u' Jogapalya (Bairasandra)', u' Abbaiappa Layout', u' Poojari Lakshmaiah Layout', u' Seenappa Layout', u' Patel K Marappa Layout', u' HAL Officer\u2019s Enclave', u' Vishvavihar', u' LRDE Qtrs', u' Nagavara', u' Kagdasanapura', u' Malleshappan palya']",2710,C V Raman Nagar,15822
77,R.S. Sathyanarayana (INC),16596,34236,General,0.71,Dattatreya Temple,256,"['Sudheendra Nagar', ' swimming pool extension', ' Kumara Park West']",3351,Gandhinagar,17640
97,Shakeela.M (INC),16828,34595,Scheduled Caste,0.45,Dayananda Nagar,170,"['Yarappa Block', ' Ambedkar Nagar', ' Venkateshwra AK Colony', ' Ramakrishna Seva Nagar', ' Dayananda Nagar']",10651,Rajajinagar,17767
158,Malathi (BJP),14269,30924,Backward Category A (Women),2.09,Deepanjali Nagar,367,"['Deepanjali Nagar', ' Patel Puttanna Industrial Estate', ' FCI Layout', ' Roshan Nagar', ' Muthachary Industrial Estate', ' Ganapathi Nagar', ' Avalahalli', ' Veerabhadra Nagar', ' KEB quarters', ' Raghavendra Colony']",1776,Vijayanagar,16655
47,Sampath Raj .R (INC),16187,33483,Scheduled Caste,1.37,Devara Jeevanahalli,167,"['Modi Garden', ' Bangaragiri Layout', ' Doddanna Nagar', ' Devara Jeevanahalli', ' Military area']",7021,Pulakeshinagar,17296
55,R.Manjula Devi (BJP),10453,22057,Backward Category B,3.52,Devasandra,377,"['Duravani Nagar', ' ITI Colony (P)', ' Devasandra', ' J C Layout', ' Roshan Nagar', ' Railway Colony', ' Devasandra Industrial Area', ' Singayyana Palya', ' Badavala Colony', ' B Narayanapura', ' Ramakrishna Reddy Layout']",3225,K R Puram,11604
119,P.Dhanaraj (BJP),15006,33199,Backward Category A,1.1,Dharmaraya Swamy Temple,108,"['Ganigarpete', ' Halsurpete', ' Kumbara Gundi', ' Kalasipalya Market', ' Kalasipalyam', ' New Bamboo Bazar', ' Nagarathpete', ' Tigalara pete']",2037,Chikkpet,18193
40,T.A.Gayathri (JD (S)),9145,19349,General (Women),12.7,Dodda Bidarakallu,1256,"['Channanayakanahalli', ' Jagannatha Rao Layout', ' Gopalappa Layout', ' Maranna Narayanappa Layout', ' Lingadeeranahalli', ' Siddartha Layout', ' Tippenahalli', ' Suvarna Nagar', ' Wipro Layout', ' Gruhalakshmi Housing Colony (P)', ' Indranagar', ' Nagasandra', ' Residential Layout', ' Proposed Inregreted Layout', ' Karibanahalli', ' Tigalara Palya', ' Mubarak Nagar', ' Vaddara Palya', ' Raghavendra Nagar', ' Maruthi Nagar IV Phase', ' Kalki Nagar', ' Handrihalli', ' Vidhyamana Nagara', ' Doddanna Layout', ' Class D Employees Housing Layout', ' Hosahalli G Palya', ' Sri Ramanagaiah Layout', ' D Group Layout I Stage', ' Congress Chikkanna Layout', ' Doddabedrakallu', ' Sapthagiri Layout']",3055,Yeshwanthpur,10204
10,M E Pillappa (BJP),10313,21640,General,4.2,Dodda Bommasandra,286,"['Nanjappa Layout', ' Chamundeshwari Layout', ' Ramanna Layout', ' Mandamma Layout', ' Govindayyana Palya (P)', ' Kempamma Layout', ' Hanuman Layout', ' Subbakka Layout', ' Dodda Bommasandra (P)', ' Jayalakshamma Layout', ' Ranappa Dasappa Layout', ' Muneswara Layout', ' Vimana Layout', ' Kodigehalli kere', ' Nagaland Colony', ' BEL Quarters', ' BEL Colony', ' CRL - BEL Industrial estate', ' Vidyaranayapura 2nd block', ' BEL Layout']",3188,Byatarayanapura,11327
